facility_id,facility_type,total_area_sqft,total_floors
F-0263,Education,87673,4
F-0264,Office,83660,2
F-0265,Office,118966,2
F-0266,Education,30543,4
F-0267,Entertainment/public assembly,72193,1
F-0268,Entertainment/public assembly,77844,1
F-0269,Entertainment/public assembly,809530,1
F-0270,Office,29778,2
F-0271,Education,71421,4
F-0272,Education,4583,4
F-0273,Office,140345,2
F-0274,Office,42214,2
F-0275,Office,70832,2
F-0276,Office,70837,2
F-0277,Education,12761,4
F-0278,Office,148101,2
F-0279,Education,49384,4
F-0280,Entertainment/public assembly,105505,1
F-0281,Food sales and service,28862,1
F-0282,Office,28750,2
F-0283,Entertainment/public assembly,51920,1
F-0284,Entertainment/public assembly,230259,1
F-0285,Utility,21958,2
F-0286,Lodging/residential,32841,7
F-0287,Office,33713,2
F-0288,Entertainment/public assembly,10733,1
F-0289,Entertainment/public assembly,9666,1
F-0290,Office,51732,2
F-0291,Public services,90635,1
F-0292,Public services,33743,1
F-0293,Office,408000,2
F-0294,Entertainment/public assembly,14913,1
F-0295,Education,83400,4
F-0296,Public services,22000,1
F-0297,Education,66200,4
F-0298,Entertainment/public assembly,39541,1
F-0299,Education,356000,4
F-0300,Education,62800,4
F-0301,Public services,51176,1
F-0302,Education,57100,4
F-0303,Entertainment/public assembly,15950,1
F-0304,Entertainment/public assembly,194300,1
F-0305,Office,8637,2
F-0306,Education,51500,4
F-0307,Public services,10873,1
F-0308,Public services,5033,1
F-0309,Entertainment/public assembly,2067,1
F-0310,Public services,22000,1
F-0311,Education,50000,4
F-0312,Entertainment/public assembly,6625,1
F-0313,Education,103800,4
F-0314,Education,225000,4
F-0315,Entertainment/public assembly,20644,1
F-0316,Public services,78550,1
F-0317,Office,16098,2
F-0318,Office,105000,2
F-0319,Public services,13100,1
F-0320,Education,105500,4
F-0321,Public services,15913,1
F-0322,Education,37083,4
F-0323,Education,282200,4
F-0324,Entertainment/public assembly,11910,1
F-0325,Education,59200,4
F-0326,Entertainment/public assembly,45548,1
F-0327,Education,99325,4
F-0328,Education,47200,4
F-0329,Entertainment/public assembly,3133,1
F-0330,Education,65000,4
F-0331,Education,288800,4
F-0332,Education,90400,4
F-0333,Education,59900,4
F-0334,Education,57100,4
F-0335,Office,229000,2
F-0336,Education,43000,4
F-0337,Entertainment/public assembly,22334,1
F-0338,Entertainment/public assembly,23803,1
F-0339,Education,71100,4
F-0340,Entertainment/public assembly,1843,1
F-0341,Education,158000,4
F-0342,Lodging/residential,15420,7
F-0343,Public services,22000,1
F-0344,Education,77500,4
F-0345,Lodging/residential,7250,7
F-0346,Entertainment/public assembly,17709,1
F-0347,Education,75900,4
F-0348,Public services,10577,1
F-0349,Public services,45098,1
F-0350,Education,83800,4
F-0351,Education,58908,4
F-0352,Education,144900,4
F-0353,Education,99700,4
F-0354,Education,77500,4
F-0355,Education,182500,4
F-0356,Public services,4336,1
F-0357,Lodging/residential,2000,7
F-0358,Education,77700,4
F-0359,Public services,4925,1
F-0360,Education,69600,4
F-0361,Public services,13224,1
F-0362,Public services,21368,1
F-0363,Education,69300,4
F-0364,Education,83800,4
F-0365,Healthcare,819577,1
F-0366,Public services,9941,1
F-0367,Entertainment/public assembly,20584,1
F-0368,Retail,16500,1
F-0369,Public services,6431,1
F-0370,Entertainment/public assembly,15960,1
F-0371,Entertainment/public assembly,5554,1
F-0372,Education,49100,4
F-0373,Education,46484,4
F-0374,Lodging/residential,350000,7
F-0375,Office,850354,2
F-0376,Office,585955,2
F-0377,Public services,12506,1
F-0378,Public services,35241,1
F-0379,Entertainment/public assembly,7675,1
F-0380,Education,95100,4
F-0381,Entertainment/public assembly,1858,1
F-0382,Education,47984,4
F-0383,Warehouse/storage,27318,1
F-0384,Office,13728,2
F-0385,Public services,18432,1
F-0386,Entertainment/public assembly,17262,1
F-0387,Education,104200,4
F-0388,Public services,30810,1
F-0389,Education,57165,4
F-0390,Office,34400,2
F-0391,Education,87107,4
F-0392,Education,53000,4
F-0393,Education,59400,4
F-0394,Entertainment/public assembly,3545,1
F-0395,Public services,8925,1
F-0396,Public services,16768,1
F-0397,Public services,54061,1
F-0398,Education,62200,4
F-0399,Education,180000,4
F-0400,Public services,19315,1
F-0401,Entertainment/public assembly,12660,1
F-0402,Public services,2818,1
F-0403,Education,49500,4
F-0404,Public services,5783,1
F-0405,Education,82200,4
F-0406,Entertainment/public assembly,2347,1
F-0407,Education,325217,4
F-0408,Entertainment/public assembly,16098,1
F-0409,Education,38500,4
F-0410,Education,64113,4
F-0411,Entertainment/public assembly,6139,1
F-0412,Education,110000,4
F-0413,Warehouse/storage,14839,1
F-0414,Entertainment/public assembly,36387,1
F-0415,Education,41329,4
F-0416,Public services,7079,1
F-0417,Education,69600,4
F-0418,Entertainment/public assembly,86120,1
F-0419,Education,271300,4
F-0420,Public services,81397,1
F-0421,Entertainment/public assembly,11274,1
F-0422,Public services,8726,1
F-0423,Entertainment/public assembly,969,1
F-0424,Public services,32527,1
F-0425,Warehouse/storage,202829,1
F-0426,Education,101400,4
F-0427,Public services,14269,1
F-0428,Entertainment/public assembly,1396,1
F-0429,Public services,11934,1
F-0430,Public services,23918,1
F-0431,Parking,1760,2
F-0432,Public services,103200,1
F-0433,Entertainment/public assembly,23055,1
F-0434,Education,39500,4
F-0435,Office,29916,2
F-0436,Lodging/residential,15574,7
F-0437,Entertainment/public assembly,11651,1
F-0438,Public services,36562,1
F-0439,Office,62205,2
F-0440,Public services,35033,1
F-0441,Public services,3267,1
F-0442,Education,70800,4
F-0443,Education,109000,4
F-0444,Public services,12945,1
F-0445,Education,40950,4
F-0446,Public services,43992,1
F-0447,Public services,21472,1
F-0448,Office,328760,2
F-0449,Lodging/residential,18340,7
F-0450,Education,116872,4
F-0451,Entertainment/public assembly,5013,1
F-0452,Education,155100,4
F-0453,Public services,24875,1
F-0454,Public services,16576,1
F-0455,Healthcare,29192,1
F-0456,Public services,14125,1
F-0457,Education,79700,4
F-0458,Entertainment/public assembly,4589,1
F-0459,Entertainment/public assembly,36744,1
F-0460,Public services,17927,1
F-0461,Education,69400,4
F-0462,Public services,9226,1
F-0463,Public services,25000,1
F-0464,Public services,9816,1
F-0465,Office,6400,2
F-0466,Public services,22500,1
F-0467,Public services,47439,1
F-0468,Office,40000,2
F-0469,Public services,13044,1
F-0470,Public services,24618,1
F-0471,Education,170000,4
F-0472,Education,69400,4
F-0473,Public services,46007,1
F-0474,Public services,10151,1
F-0475,Office,474680,2
F-0476,Entertainment/public assembly,1102,1
F-0477,Public services,21600,1
F-0478,Lodging/residential,31283,7
F-0479,Public services,43955,1
F-0480,Office,30000,2
F-0481,Education,104294,4
F-0482,Education,394000,4
F-0483,Education,207000,4
F-0484,Public services,18000,1
F-0485,Public services,22000,1
F-0486,Education,86375,4
F-0487,Education,66600,4
F-0488,Education,69600,4
F-0489,Education,85039,4
F-0490,Education,98900,4
F-0491,Education,66600,4
F-0492,Education,193800,4
F-0493,Education,283000,4
F-0494,Education,72800,4
F-0495,Education,47500,4
F-0496,Public services,16200,1
F-0497,Public services,7732,1
F-0498,Entertainment/public assembly,14842,1
F-0499,Education,376507,4
F-0500,Education,99975,4
F-0501,Education,66404,4
F-0502,Public services,6010,1
F-0503,Other,10762,1
F-0504,Warehouse/storage,112536,1
F-0505,Warehouse/storage,51622,1
F-0506,Other,34400,1
F-0507,Education,61151,4
F-0508,Other,112283,1
F-0509,Other,10578,1
F-0510,Public services,4581,1
F-0511,Public services,12316,1
F-0512,Lodging/residential,5000,7
F-0513,Public services,112283,1
F-0514,Public services,12750,1
F-0515,Education,63900,4
F-0516,Public services,9000,1
F-0517,Lodging/residential,2210,7
F-0518,Public services,555243,1
F-0519,Public services,461647,1
F-0520,Office,27600,2
F-0521,Public services,12000,1
F-0522,Office,8000,2
F-0523,Entertainment/public assembly,9726,1
F-0524,Public services,134114,1
F-0525,Public services,9062,1
F-0526,Public services,7636,1
F-0527,Public services,9392,1
F-0528,Public services,11143,1
F-0529,Public services,14519,1
F-0530,Public services,144000,1
F-0531,Public services,68203,1
F-0532,Entertainment/public assembly,7133,1
F-0533,Lodging/residential,11900,7
F-0534,Entertainment/public assembly,898,1
F-0535,Healthcare,15000,1
F-0536,Entertainment/public assembly,1962,1
F-0537,Education,73200,4
F-0538,Religious worship,10000,1
F-0539,Entertainment/public assembly,1473,1
F-0540,Education,88300,4
F-0541,Lodging/residential,2582,7
F-0542,Education,66900,4
F-0543,Entertainment/public assembly,801,1
F-0544,Public services,110800,1
F-0545,Education,21903,4
F-0546,Public services,400000,1
F-0547,Healthcare,23903,1
F-0548,Healthcare,9813,1
F-0549,Public services,12754,1
F-0550,Public services,16000,1
F-0551,Office,30525,2
F-0552,Public services,20110,1
F-0553,Education,37800,4
F-0554,Entertainment/public assembly,26187,1
F-0555,Education,22400,4
F-0556,Healthcare,450000,1
F-0557,Public services,19000,1
F-0558,Office,89315,2
F-0559,Education,48994,4
F-0560,Office,340000,2
F-0561,Office,295000,2
F-0562,Education,235000,4
F-0563,Office,31346,2
F-0564,Public services,89315,1
F-0565,Education,15326,2
F-0566,Education,2010,1
F-0567,Entertainment/public assembly,82670,4
F-0568,Education,14150,2
F-0569,Education,86091,8
F-0570,Education,193202,10
F-0571,Education,47954,3
F-0572,Education,94175,9
F-0573,Education,23815,4
F-0574,Education,56343,4
F-0575,Technology/science,33167,4
F-0576,Education,86465,7
F-0577,Education,113589,3
F-0578,Lodging/residential,71994,4
F-0579,Education,7781,4
F-0580,Education,104016,4
F-0581,Lodging/residential,23012,3
F-0582,Education,14542,4
F-0583,Education,206054,9
F-0584,Education,137806,8
F-0585,Public services,132394,7
F-0586,Public services,166514,5
F-0587,Technology/science,53234,5
F-0588,Education,21866,4
F-0589,Education,305268,8
F-0590,Education,8516,2
F-0591,Entertainment/public assembly,59326,1
F-0592,Education,120694,7
F-0593,Education,66203,6
F-0594,Education,177281,7
F-0595,Education,270413,14
F-0596,Education,18474,4
F-0597,Public services,189425,4
F-0598,Public services,68701,4
F-0599,Education,25996,4
F-0600,Education,44182,5
F-0601,Entertainment/public assembly,11910,2
F-0602,Entertainment/public assembly,238065,6
F-0603,Public services,29063,3
F-0604,Education,8463,3
F-0605,Education,51020,5
F-0606,Utility,23432,2
F-0607,Education,34825,2
F-0608,Entertainment/public assembly,124197,3
F-0609,Education,141461,6
F-0610,Entertainment/public assembly,30160,4
F-0611,Education,128126,7
F-0612,Education,77055,4
F-0613,Entertainment/public assembly,1305,1
F-0614,Lodging/residential,185200,8
F-0615,Education,153700,7
F-0616,Education,117814,6
F-0617,Education,182943,11
F-0618,Education,148032,5
F-0619,Education,68146,6
F-0620,Education,220703,9
F-0621,Parking,387,1
F-0622,Education,123612,7
F-0623,Education,49388,6
F-0624,Education,46204,5
F-0625,Education,55516,5
F-0626,Public services,130581,5
F-0627,Education,56637,5
F-0628,Education,40706,3
F-0629,Education,40835,6
F-0630,Education,93420,5
F-0631,Education,23533,3
F-0632,Education,41297,6
F-0633,Parking,98539,2
F-0634,Education,4000,4
F-0635,Education,7122,3
F-0636,Education,6564,3
F-0637,Education,4189,3
F-0638,Education,7900,4
F-0639,Education,14524,2
F-0640,Entertainment/public assembly,36180,9
F-0641,Education,109588,8
F-0642,Education,30401,4
F-0643,Education,110919,6
F-0644,Entertainment/public assembly,261091,3
F-0645,Education,304333,12
F-0646,Education,58733,6
F-0647,Lodging/residential,86959,5
F-0648,Education,154706,11
F-0649,Education,116121,10
F-0650,Education,75228,4
F-0651,Parking,306140,5
F-0652,Education,150887,9
F-0653,Education,420885,8
F-0654,Education,43910,5
F-0655,Education,222434,11
F-0656,Other,5769,1
F-0657,Education,109071,3
F-0658,Entertainment/public assembly,31075,2
F-0659,Entertainment/public assembly,15306,2
F-0660,Entertainment/public assembly,5447,1
F-0661,Entertainment/public assembly,7427,2
F-0662,Entertainment/public assembly,12777,2
F-0663,Entertainment/public assembly,57189,2
F-0664,Entertainment/public assembly,49492,2
F-0665,Entertainment/public assembly,8773,1
F-0666,Entertainment/public assembly,12045,1
F-0667,Entertainment/public assembly,15715,2
F-0668,Entertainment/public assembly,47275,2
F-0669,Entertainment/public assembly,4768,1
F-0670,Healthcare,18471,1
F-0671,Lodging/residential,7589,3
F-0672,Manufacturing/industrial,6329,2
F-0673,Entertainment/public assembly,36307,2
F-0674,Entertainment/public assembly,149704,8
F-0675,Manufacturing/industrial,3853,1
F-0676,Manufacturing/industrial,90697,2
F-0677,Public services,7072,2
F-0678,Public services,60977,6
F-0679,Public services,43400,3
F-0680,Public services,9849,2
F-0681,Public services,41861,3
F-0682,Entertainment/public assembly,64153,5
F-0683,Office,4650,2
F-0684,Office,152471,3
F-0685,Office,270034,5
F-0686,Office,12206,2
F-0687,Office,36221,4
F-0688,Office,52302,2
F-0689,Office,11442,1
F-0690,Office,19429,2
F-0691,Office,42647,1
F-0692,Office,7416,2
F-0693,Office,57436,3
F-0694,Education,30613,4
F-0695,Education,121062,3
F-0696,Education,19041,2
F-0697,Education,18697,2
F-0698,Education,13939,1
F-0699,Education,93764,3
F-0700,Education,11464,1
F-0701,Education,128682,4
F-0702,Education,24251,2
F-0703,Education,34563,1
F-0704,Education,17050,1
F-0705,Education,23605,1
F-0706,Education,27685,2
F-0707,Education,11270,1
F-0708,Education,102429,4
F-0709,Education,23067,2
F-0710,Education,12088,4
F-0711,Education,15414,1
F-0712,Education,22949,1
F-0713,Education,14973,2
F-0714,Education,8730,1
F-0715,Education,23153,2
F-0716,Education,37265,3
F-0717,Education,28826,2
F-0718,Education,25866,2
F-0719,Education,28363,2
F-0720,Education,18202,2
F-0721,Education,121471,3
F-0722,Education,31635,3
F-0723,Education,160038,4
F-0724,Education,88856,2
F-0725,Education,13789,1
F-0726,Education,120566,2
F-0727,Education,139113,3
F-0728,Education,30300,2
F-0729,Education,17190,2
F-0730,Education,126045,4
F-0731,Education,29149,2
F-0732,Education,66187,1
F-0733,Education,96929,3
F-0734,Education,28191,1
F-0735,Education,155807,2
F-0736,Education,94658,3
F-0737,Education,14790,1
F-0738,Education,95433,4
F-0739,Education,137046,2
F-0740,Education,37975,1
F-0741,Education,14025,1
F-0742,Entertainment/public assembly,31829,2
F-0743,Entertainment/public assembly,12185,2
F-0744,Entertainment/public assembly,48642,5
F-0745,Education,13512,4
F-0746,Office,17879,2
F-0747,Education,30531,4
F-0748,Office,32766,2
F-0749,Lodging/residential,35936,7
F-0750,Education,35990,4
F-0751,Office,37485,2
F-0752,Public services,38671,1
F-0753,Education,39558,4
F-0754,Office,41337,2
F-0755,Office,42129,2
F-0756,Lodging/residential,44352,7
F-0757,Education,46813,4
F-0758,Lodging/residential,47007,7
F-0759,Lodging/residential,48519,7
F-0760,Office,49990,2
F-0761,Entertainment/public assembly,52534,1
F-0762,Education,53651,4
F-0763,Office,54597,2
F-0764,Education,58307,4
F-0765,Entertainment/public assembly,58562,1
F-0766,Office,64818,2
F-0767,Office,70042,2
F-0768,Education,75929,4
F-0769,Education,77263,4
F-0770,Education,80325,4
F-0771,Lodging/residential,82911,7
F-0772,Lodging/residential,87661,7
F-0773,Lodging/residential,93313,7
F-0774,Lodging/residential,93500,7
F-0775,Office,104355,2
F-0776,Office,104667,2
F-0777,Lodging/residential,105791,7
F-0778,Entertainment/public assembly,108339,1
F-0779,Lodging/residential,113000,7
F-0780,Education,120836,4
F-0781,Lodging/residential,128044,7
F-0782,Education,129344,4
F-0783,Entertainment/public assembly,143110,1
F-0784,Education,190817,4
F-0785,Education,250000,4
F-0786,Education,257000,4
F-0787,Lodging/residential,278795,7
F-0788,Public services,401753,1
F-0789,Education,64583,1
F-0790,Education,86111,8
F-0791,Education,150695,5
F-0792,Education,333681,3
F-0793,Education,150695,6
F-0794,Education,731945,11
F-0795,Education,387500,6
F-0796,Education,226042,2
F-0797,Education,764237,13
F-0798,Education,409028,21
F-0799,Education,527431,26
F-0800,Education,64583,2
F-0801,Education,484376,5
F-0802,Education,290625,19
F-0803,Education,182986,3
F-0804,Office,175618,1
F-0805,Entertainment/public assembly,3200,1
F-0806,Other,28693,2
F-0807,Entertainment/public assembly,3000,1
F-0808,Other,9357,1
F-0809,Entertainment/public assembly,520,1
F-0810,Entertainment/public assembly,3729,1
F-0811,Public services,4848,1
F-0812,Entertainment/public assembly,9894,1
F-0813,Public services,5630,1
F-0814,Public services,4371,1
F-0815,Entertainment/public assembly,666,1
F-0816,Entertainment/public assembly,356,1
F-0817,Entertainment/public assembly,984,1
F-0818,Public services,3648,1
F-0819,Public services,6351,1
F-0820,Entertainment/public assembly,648,1
F-0821,Other,2555,1
F-0822,Entertainment/public assembly,366,1
F-0823,Public services,35253,1
F-0824,Public services,7820,1
F-0825,Public services,3592,1
F-0826,Public services,19446,1
F-0827,Office,5839,1
F-0828,Other,102994,1
F-0829,Warehouse/storage,15879,1
F-0830,Warehouse/storage,15120,1
F-0831,Entertainment/public assembly,4065,1
F-0832,Public services,26507,1
F-0833,Public services,6392,1
F-0834,Public services,4934,1
F-0835,Entertainment/public assembly,17220,1
F-0836,Public services,8168,1
F-0837,Public services,33246,1
F-0838,Public services,18414,1
F-0839,Office,14150,1
F-0840,Other,41861,1
F-0841,Office,5680,1
F-0842,Public services,7292,1
F-0843,Entertainment/public assembly,5380,1
F-0844,Entertainment/public assembly,6944,1
F-0845,Entertainment/public assembly,860,1
F-0846,Entertainment/public assembly,481,1
F-0847,Entertainment/public assembly,9303,1
F-0848,Office,8552,1
F-0849,Public services,6448,1
F-0850,Public services,28590,1
F-0851,Public services,16682,1
F-0852,Public services,10800,1
F-0853,Entertainment/public assembly,26495,1
F-0854,Entertainment/public assembly,92288,1
F-0855,Office,48300,1
F-0856,Entertainment/public assembly,2956,1
F-0857,Entertainment/public assembly,4000,1
F-0858,Other,1566,1
F-0859,Public services,4000,1
F-0860,Other,12259,1
F-0861,Other,4276,1
F-0862,Other,27640,1
F-0863,Public services,19823,1
F-0864,Public services,16584,1
F-0865,Public services,10174,1
F-0866,Public services,10174,1
F-0867,Public services,65913,1
F-0868,Public services,60000,1
F-0869,Entertainment/public assembly,875000,1
F-0870,Entertainment/public assembly,755,1
F-0871,Entertainment/public assembly,1536,1
F-0872,Public services,3627,1
F-0873,Office,40142,1
F-0874,Office,181805,2
F-0875,Lodging/residential,177708,7
F-0876,Education,55240,4
F-0877,Office,8004,2
F-0878,Lodging/residential,41241,7
F-0879,Education,110235,4
F-0880,Education,157723,4
F-0881,Entertainment/public assembly,344798,1
F-0882,Education,39143,4
F-0883,Education,399331,4
F-0884,Education,38598,4
F-0885,Lodging/residential,40697,7
F-0886,Education,69799,4
F-0887,Lodging/residential,69754,7
F-0888,Entertainment/public assembly,137522,1
F-0889,Education,126077,4
F-0890,Education,202937,4
F-0891,Education,50846,4
F-0892,Services,481999,1
F-0893,Education,47191,4
F-0894,Education,101555,4
F-0895,Education,55087,4
F-0896,Education,245637,4
F-0897,Education,37775,4
F-0898,Public services,64749,1
F-0899,Education,225014,4
F-0900,Education,111623,4
F-0901,Education,107730,4
F-0902,Education,14561,4
F-0903,Education,275793,4
F-0904,Education,29961,4
F-0905,Lodging/residential,39648,7
F-0906,Lodging/residential,39649,7
F-0907,Entertainment/public assembly,44564,1
F-0908,Education,91254,4
F-0909,Entertainment/public assembly,66121,1
F-0910,Office,60096,2
F-0911,Education,239638,4
F-0912,Education,52559,4
F-0913,Entertainment/public assembly,503634,1
F-0914,Education,229973,4
F-0915,Education,205141,4
F-0916,Education,51778,4
F-0917,Education,237702,4
F-0918,Education,60621,4
F-0919,Education,31233,4
F-0920,Education,85623,4
F-0921,Entertainment/public assembly,262162,1
F-0922,Education,147205,4
F-0923,Education,24992,4
F-0924,Entertainment/public assembly,252268,1
F-0925,Education,54405,4
F-0926,Education,26033,4
F-0927,Lodging/residential,745671,7
F-0928,Education,179115,4
F-0929,Education,199628,4
F-0930,Office,20917,2
F-0931,Education,216050,4
F-0932,Lodging/residential,233937,7
F-0933,Office,8525,2
F-0934,Entertainment/public assembly,170607,1
F-0935,Office,16135,2
F-0936,Lodging/residential,11350,7
