facility_id,timestamp,electricity_kwh
F-0000,2016-03-20,1379.0775
F-0000,2016-03-21,1381.491
F-0000,2016-03-22,1383.9044
F-0000,2016-03-23,1386.3179
F-0000,2016-03-24,1388.7313
F-0000,2016-03-25,1391.1448
F-0000,2016-03-26,1393.5583
F-0000,2016-03-27,1395.9718
F-0000,2016-03-28,1398.3853
F-0000,2016-03-29,1400.7987
F-0000,2016-03-30,1403.2122
F-0000,2016-03-31,1405.6256
F-0000,2016-04-01,1408.0391
F-0000,2016-04-02,1410.4526
F-0000,2016-04-03,1412.8661
F-0000,2016-04-04,1415.2795
F-0000,2016-04-05,1417.693
F-0000,2016-04-06,1420.1064
F-0000,2016-04-07,1422.52
F-0000,2016-04-08,1432.4541
F-0000,2016-04-09,1513.5831
F-0000,2016-04-10,1612.2603
F-0000,2016-04-11,1710.9375
F-0000,2016-04-12,1809.6146
F-0000,2016-04-13,1908.2919
F-0000,2016-04-14,2006.969
F-0000,2016-04-15,2105.6462
F-0000,2016-04-16,2204.3232
F-0000,2016-04-17,2303.0005
F-0000,2016-04-18,2401.6777
F-0000,2016-04-19,2500.3547
F-0000,2016-04-20,2599.032
F-0000,2016-04-21,2697.7092
F-0000,2016-04-22,2796.3862
F-0000,2016-04-23,2895.0635
F-0000,2016-04-24,2993.7407
F-0000,2016-04-25,3092.418
F-0000,2016-04-26,3191.095
F-0000,2016-04-27,3289.7722
F-0000,2016-04-28,3388.4492
F-0000,2016-04-29,3487.1265
F-0000,2016-04-30,3585.8037
F-0000,2016-05-01,3684.481
F-0000,2016-05-02,3783.158
F-0000,2016-05-03,3881.8352
F-0000,2016-05-04,3980.5125
F-0000,2016-05-05,4079.1895
F-0000,2016-05-06,4177.8667
F-0000,2016-05-07,4276.544
F-0000,2016-05-08,4375.221
F-0000,2016-05-09,4473.8984
F-0000,2016-05-10,4572.575
F-0000,2016-05-11,4671.2524
F-0000,2016-05-12,4769.9297
F-0000,2016-05-13,4868.607
F-0000,2016-05-14,4967.284
F-0000,2016-05-15,5065.9614
F-0000,2016-05-16,5164.638
F-0000,2016-05-17,5263.3154
F-0000,2016-05-18,5361.9927
F-0000,2016-05-19,5460.67
F-0000,2016-05-20,5639.367
F-0000,2016-05-21,6583.293
F-0000,2016-05-22,6420.842
F-0000,2016-05-23,5608.596
F-0000,2016-05-24,5908.243
F-0000,2016-05-25,5641.357
F-0000,2016-05-26,4489.1978
F-0000,2016-05-27,4360.199
F-0000,2016-05-28,4360.877
F-0000,2016-05-29,4246.208
F-0000,2016-05-30,4223.002
F-0000,2016-05-31,4287.846
F-0000,2016-06-01,4790.891
F-0000,2016-06-02,5647.505
F-0000,2016-06-03,5933.497
F-0000,2016-06-04,5480.281
F-0000,2016-06-05,5871.384
F-0000,2016-06-06,5908.923
F-0000,2016-06-07,5906.193
F-0000,2016-06-08,5939.639
F-0000,2016-06-09,6033.833
F-0000,2016-06-10,6054.312
F-0000,2016-06-11,5983.3223
F-0000,2016-06-12,5963.53
F-0000,2016-06-13,5864.561
F-0000,2016-06-14,6233.8223
F-0000,2016-06-15,7185.312
F-0000,2016-06-16,7072.69
F-0000,2016-06-17,6908.874
F-0000,2016-06-18,6809.907
F-0000,2016-06-19,6422.891
F-0000,2016-06-20,5809.269
F-0000,2016-06-21,5775.14
F-0000,2016-06-22,6144.41
F-0000,2016-06-23,6734.8213
F-0000,2016-06-24,6758.711
F-0000,2016-06-25,5839.987
F-0000,2016-06-26,5760.128
F-0000,2016-06-27,5880.941
F-0000,2016-06-28,5803.127
F-0000,2016-06-29,5863.874
F-0000,2016-06-30,5859.095
F-0000,2016-07-01,5867.972
F-0000,2016-07-02,5844.085
F-0000,2016-07-03,5852.955
F-0000,2016-07-04,5325.335
F-0000,2016-07-05,4716.49
F-0000,2016-07-06,5687.773
F-0000,2016-07-07,5659.791
F-0000,2016-07-08,6364.193
F-0000,2016-07-09,7162.786
F-0000,2016-07-10,7036.5127
F-0000,2016-07-11,7262.44
F-0000,2016-07-12,7299.983
F-0000,2016-07-13,7192.135
F-0000,2016-07-14,6676.805
F-0000,2016-07-15,7219.439
F-0000,2016-07-16,6787.38
F-0000,2016-07-17,7169.612
F-0000,2016-07-18,7317.726
F-0000,2016-07-19,7045.389
F-0000,2016-07-20,7104.77
F-0000,2016-07-21,7323.873
F-0000,2016-07-22,7203.741
F-0000,2016-07-23,6603.087
F-0000,2016-07-24,6753.252
F-0000,2016-07-25,6843.349
F-0000,2016-07-26,7214.6616
F-0000,2016-07-27,7371.649
F-0000,2016-07-28,7302.711
F-0000,2016-07-29,7215.343
F-0000,2016-07-30,6755.297
F-0000,2016-07-31,6780.5527
F-0000,2016-08-01,6775.775
F-0000,2016-08-02,7065.181
F-0000,2016-08-03,7164.833
F-0000,2016-08-04,7363.458
F-0000,2016-08-05,7114.325
F-0000,2016-08-06,7056.307
F-0000,2016-08-07,7179.17
F-0000,2016-08-08,7018.767
F-0000,2016-08-09,6853.586
F-0000,2016-08-10,7010.575
F-0000,2016-08-11,7151.868
F-0000,2016-08-12,7084.294
F-0000,2016-08-13,6716.393
F-0000,2016-08-14,7388.715
F-0000,2016-08-15,7443.32
F-0000,2016-08-16,7528.6377
F-0000,2016-08-17,7453.558
F-0000,2016-08-18,7452.875
F-0000,2016-08-19,7216.028
F-0000,2016-08-20,7412.606
F-0000,2016-08-21,7379.157
F-0000,2016-08-22,7509.869
F-0000,2016-08-23,6852.223
F-0000,2016-08-24,5721.22
F-0000,2016-08-25,5872.75
F-0000,2016-08-26,5835.891
F-0000,2016-08-27,5734.191
F-0000,2016-08-28,5682.317
F-0000,2016-08-29,5782.651
F-0000,2016-08-30,5835.208
F-0000,2016-08-31,5826.332
F-0000,2016-09-01,5983.322
F-0000,2016-09-02,5805.856
F-0000,2016-09-03,5775.828
F-0000,2016-09-04,5790.161
F-0000,2016-09-05,5901.42
F-0000,2016-09-06,5992.879
F-0000,2016-09-07,5958.749
F-0000,2016-09-08,6031.785
F-0000,2016-09-09,5876.843
F-0000,2016-09-10,5753.302
F-0000,2016-09-11,5734.873
F-0000,2016-09-12,5754.666
F-0000,2016-09-13,5749.207
F-0000,2016-09-14,5814.731
F-0000,2016-09-15,5728.731
F-0000,2016-09-16,5810.637
F-0000,2016-09-17,5761.4893
F-0000,2016-09-18,5804.493
F-0000,2016-09-19,5864.56
F-0000,2016-09-20,5777.873
F-0000,2016-09-21,5851.59
F-0000,2016-09-22,5895.274
F-0000,2016-09-23,5850.908
F-0000,2016-09-24,5710.3
F-0000,2016-09-25,5739.651
F-0000,2016-09-26,5835.206
F-0000,2016-09-27,6003.8013
F-0000,2016-09-28,5953.29
F-0000,2016-09-29,5913.021
F-0000,2016-09-30,5887.083
F-0000,2016-10-01,5844.084
F-0000,2016-10-02,5835.209
F-0000,2016-10-03,5957.389
F-0000,2016-10-04,5915.753
F-0000,2016-10-05,5847.495
F-0000,2016-10-06,5781.288
F-0000,2016-10-07,5956.024
F-0000,2016-10-08,5930.766
F-0000,2016-10-09,6005.161
F-0000,2016-10-10,5768.999
F-0000,2016-10-11,6067.2793
F-0000,2016-10-12,6190.822
F-0000,2016-10-13,6228.3643
F-0000,2016-10-14,6132.803
F-0000,2016-10-15,6077.518
F-0000,2016-10-16,6074.104
F-0000,2016-10-17,6156.014
F-0000,2016-10-18,6456.337
F-0000,2016-10-19,6132.121
F-0000,2016-10-20,6170.343
F-0000,2016-10-21,6266.586
F-0000,2016-10-22,5207.253
F-0000,2016-10-23,5029.101
F-0000,2016-10-24,5373.798
F-0000,2016-10-25,4324.701
F-0000,2016-10-26,4738.336
F-0000,2016-10-27,4646.873
F-0000,2016-10-28,4691.236
F-0000,2016-10-29,4532.883
F-0000,2016-10-30,4700.109
F-0000,2016-10-31,4591.583
F-0000,2016-11-01,4790.208
F-0000,2016-11-02,4705.571
F-0000,2016-11-03,4714.442
F-0000,2016-11-04,4734.239
F-0000,2016-11-05,4657.789
F-0000,2016-11-06,4620.932
F-0000,2016-11-07,4710.351
F-0000,2016-11-08,4840.034
F-0000,2016-11-09,4903.513
F-0000,2016-11-10,4904.879
F-0000,2016-11-11,4324.021
F-0000,2016-11-12,4217.541
F-0000,2016-11-13,4567.693
F-0000,2016-11-14,4980.64
F-0000,2016-11-15,5068.691
F-0000,2016-11-16,4468.039
F-0000,2016-11-17,4627.759
F-0000,2016-11-18,4512.407
F-0000,2016-11-19,4407.29
F-0000,2016-11-20,4688.505
F-0000,2016-11-21,5051.63
F-0000,2016-11-22,4951.975
F-0000,2016-11-23,4655.742
F-0000,2016-11-24,4812.049
F-0000,2016-11-25,5042.757
F-0000,2016-11-26,5118.521
F-0000,2016-11-27,4577.929
F-0000,2016-11-28,4579.297
F-0000,2016-11-29,4825.701
F-0000,2016-11-30,4711.0317
F-0000,2016-12-01,4702.841
F-0000,2016-12-02,4691.919
F-0000,2016-12-03,4527.422
F-0000,2016-12-04,4424.357
F-0000,2016-12-05,4799.086
F-0000,2016-12-06,5495.294
F-0000,2016-12-07,6001.0713
F-0000,2016-12-08,1817.6578
F-0000,2016-12-09,2153.477
F-0000,2016-12-10,2055.8713
F-0000,2016-12-11,1890.6918
F-0000,2016-12-12,1738.4805
F-0000,2016-12-13,3164.3494
F-0000,2016-12-14,4892.592
F-0000,2016-12-15,4733.556
F-0000,2016-12-16,4769.731
F-0000,2016-12-17,4601.825
F-0000,2016-12-18,4591.586
F-0000,2016-12-19,4501.486
F-0000,2016-12-20,5218.17
F-0000,2016-12-21,5085.757
F-0000,2016-12-22,4528.106
F-0000,2016-12-23,4528.105
F-0000,2016-12-24,5019.548
F-0000,2016-12-25,4999.755
F-0000,2016-12-26,4962.213
F-0000,2016-12-27,4990.88
F-0000,2016-12-28,5083.026
F-0000,2016-12-29,4882.356
F-0000,2016-12-30,4722.635
F-0000,2016-12-31,5195.649
F-0001,2016-01-01,845.2824
F-0001,2016-01-02,826.39087
F-0001,2016-01-03,659.802
F-0001,2016-01-04,461.9562
F-0001,2016-01-05,346.2901
F-0001,2016-01-06,371.5034
F-0001,2016-01-07,399.0647
F-0001,2016-01-08,426.626
F-0001,2016-01-09,470.29205
F-0001,2016-01-10,533.4596
F-0001,2016-01-11,453.16943
F-0001,2016-01-12,395.3384
F-0001,2016-01-13,392.67142
F-0001,2016-01-14,398.27463
F-0001,2016-01-15,374.09995
F-0001,2016-01-16,348.7937
F-0001,2016-01-17,324.37238
F-0001,2016-01-18,353.0486
F-0001,2016-01-19,410.18103
F-0001,2016-01-20,452.1285
F-0001,2016-01-21,415.64478
F-0001,2016-01-22,365.00168
F-0001,2016-01-23,383.4689
F-0001,2016-01-24,465.42987
F-0001,2016-01-25,537.3905
F-0001,2016-01-26,595.30835
F-0001,2016-01-27,584.23193
F-0001,2016-01-28,556.1555
F-0001,2016-01-29,529.89703
F-0001,2016-01-30,517.89874
F-0001,2016-01-31,589.8909
F-0001,2016-02-01,677.0481
F-0001,2016-02-02,764.2052
F-0001,2016-02-03,741.978
F-0001,2016-02-04,573.8632
F-0001,2016-02-05,403.38116
F-0001,2016-02-06,509.9674
F-0001,2016-02-07,391.48767
F-0001,2016-02-08,337.82178
F-0001,2016-02-09,365.5016
F-0001,2016-02-10,761.3156
F-0001,2016-02-11,434.39276
F-0001,2016-02-12,398.42316
F-0001,2016-02-13,335.05725
F-0001,2016-02-14,332.05222
F-0001,2016-02-15,357.7201
F-0001,2016-02-16,458.67953
F-0001,2016-02-17,474.74304
F-0001,2016-02-18,333.57886
F-0001,2016-02-19,446.31592
F-0001,2016-02-20,398.6154
F-0001,2016-02-21,289.66904
F-0001,2016-02-22,302.16016
F-0001,2016-02-23,392.40726
F-0001,2016-02-24,478.76248
F-0001,2016-02-25,407.29776
F-0001,2016-02-26,439.34964
F-0001,2016-02-27,327.92407
F-0001,2016-02-28,331.5656
F-0001,2016-02-29,414.11313
F-0001,2016-03-01,545.574
F-0001,2016-03-02,559.3756
F-0001,2016-03-03,577.9381
F-0001,2016-03-04,478.76987
F-0001,2016-03-05,419.57953
F-0001,2016-03-06,345.9223
F-0001,2016-03-07,479.2942
F-0001,2016-03-08,525.4076
F-0001,2016-03-09,563.0806
F-0001,2016-03-10,691.49115
F-0001,2016-03-11,569.8013
F-0001,2016-03-12,726.5848
F-0001,2016-03-13,927.7435
F-0001,2016-03-14,802.20526
F-0001,2016-03-15,744.35486
F-0001,2016-03-16,718.78174
F-0001,2016-03-17,708.70953
F-0001,2016-03-18,663.9227
F-0001,2016-03-19,603.91486
F-0001,2016-03-20,543.8832
F-0001,2016-03-21,476.18765
F-0001,2016-03-22,439.67456
F-0001,2016-03-23,500.91342
F-0001,2016-03-24,567.04114
F-0001,2016-03-25,563.11206
F-0001,2016-03-26,529.80756
F-0001,2016-03-27,639.3003
F-0001,2016-03-28,610.3874
F-0001,2016-03-29,688.2671
F-0001,2016-03-30,701.3667
F-0001,2016-03-31,705.36865
F-0001,2016-04-01,782.77844
F-0001,2016-04-02,776.68896
F-0001,2016-04-03,707.8961
F-0001,2016-04-04,572.8589
F-0001,2016-04-05,533.1146
F-0001,2016-04-06,538.0286
F-0001,2016-04-07,541.5277
F-0001,2016-04-08,521.5611
F-0001,2016-04-09,488.6854
F-0001,2016-04-10,450.4853
F-0001,2016-04-11,364.07855
F-0001,2016-04-12,352.46823
F-0001,2016-04-13,595.66376
F-0001,2016-04-14,747.1335
F-0001,2016-04-15,671.018
F-0001,2016-04-16,577.56555
F-0001,2016-04-17,530.37756
F-0001,2016-04-18,522.4721
F-0001,2016-04-19,488.80096
F-0001,2016-04-20,473.16028
F-0001,2016-04-21,441.0489
F-0001,2016-04-22,674.7023
F-0001,2016-04-23,722.3845
F-0001,2016-04-24,642.74866
F-0001,2016-04-25,562.6878
F-0001,2016-04-26,548.7807
F-0001,2016-04-27,699.4236
F-0001,2016-04-28,673.2633
F-0001,2016-04-29,755.6528
F-0001,2016-04-30,739.15784
F-0001,2016-05-01,753.7581
F-0001,2016-05-02,746.2022
F-0001,2016-05-03,725.8065
F-0001,2016-05-04,687.2928
F-0001,2016-05-05,557.38727
F-0001,2016-05-06,471.98703
F-0001,2016-05-07,323.438
F-0001,2016-05-08,449.2689
F-0001,2016-05-09,664.60944
F-0001,2016-05-10,643.5082
F-0001,2016-05-11,625.693
F-0001,2016-05-12,740.7917
F-0001,2016-05-13,856.67145
F-0001,2016-05-14,1298.7563
F-0001,2016-05-15,869.25604
F-0001,2016-05-16,728.38696
F-0001,2016-05-17,776.26276
F-0001,2016-05-18,787.9482
F-0001,2016-05-19,804.9209
F-0001,2016-05-20,1427.1881
F-0001,2016-05-21,3144.692
F-0001,2016-05-22,3113.2954
F-0001,2016-05-23,2540.4907
F-0001,2016-05-24,2501.447
F-0001,2016-05-25,2395.5122
F-0001,2016-05-26,2522.4722
F-0001,2016-05-27,2808.4644
F-0001,2016-05-28,3043.6716
F-0001,2016-05-29,3171.447
F-0001,2016-05-30,3205.302
F-0001,2016-05-31,3220.045
F-0001,2016-06-01,3149.608
F-0001,2016-06-02,3257.449
F-0001,2016-06-03,3280.384
F-0001,2016-06-04,2982.5154
F-0001,2016-06-05,3254.175
F-0001,2016-06-06,3265.914
F-0001,2016-06-07,3242.9792
F-0001,2016-06-08,3318.064
F-0001,2016-06-09,3339.63
F-0001,2016-06-10,3282.842
F-0001,2016-06-11,3230.694
F-0001,2016-06-12,3361.7449
F-0001,2016-06-13,3261.82
F-0001,2016-06-14,3199.022
F-0001,2016-06-15,3119.845
F-0001,2016-06-16,3241.614
F-0001,2016-06-17,3255.815
F-0001,2016-06-18,3256.63
F-0001,2016-06-19,3325.16
F-0001,2016-06-20,2852.5579
F-0001,2016-06-21,2719.8643
F-0001,2016-06-22,3201.21
F-0001,2016-06-23,3393.962
F-0001,2016-06-24,3353.55
F-0001,2016-06-25,3360.924
F-0001,2016-06-26,3362.837
F-0001,2016-06-27,3237.247
F-0001,2016-06-28,3218.133
F-0001,2016-06-29,3280.659
F-0001,2016-06-30,3210.762
F-0001,2016-07-01,3255.54
F-0001,2016-07-02,3221.686
F-0001,2016-07-03,3333.077
F-0001,2016-07-04,3253.903
F-0001,2016-07-05,3198.4783
F-0001,2016-07-06,3325.98
F-0001,2016-07-07,3297.314
F-0001,2016-07-08,3268.92
F-0001,2016-07-09,3263.731
F-0001,2016-07-10,3305.229
F-0001,2016-07-11,3274.925
F-0001,2016-07-12,3258.2668
F-0001,2016-07-13,3185.921
F-0001,2016-07-14,3169.539
F-0001,2016-07-15,3180.185
F-0001,2016-07-16,3163.261
F-0001,2016-07-17,3264.824
F-0001,2016-07-18,3225.237
F-0001,2016-07-19,3169.263
F-0001,2016-07-20,3302.499
F-0001,2016-07-21,3289.395
F-0001,2016-07-22,3267.827
F-0001,2016-07-23,3212.949
F-0001,2016-07-24,3273.283
F-0001,2016-07-25,3214.315
F-0001,2016-07-26,3262.363
F-0001,2016-07-27,3222.232
F-0001,2016-07-28,3232.335
F-0001,2016-07-29,3222.23
F-0001,2016-07-30,3208.305
F-0001,2016-07-31,3263.185
F-0001,2016-08-01,3165.717
F-0001,2016-08-02,3155.0674
F-0001,2016-08-03,3289.942
F-0001,2016-08-04,3277.106
F-0001,2016-08-05,3292.398
F-0001,2016-08-06,3324.0679
F-0001,2016-08-07,3269.192
F-0001,2016-08-08,3316.696
F-0001,2016-08-09,3244.616
F-0001,2016-08-10,3214.587
F-0001,2016-08-11,3239.978
F-0001,2016-08-12,3242.707
F-0001,2016-08-13,3202.4365
F-0001,2016-08-14,3316.148
F-0001,2016-08-15,3273.287
F-0001,2016-08-16,3170.3542
F-0001,2016-08-17,3285.3
F-0001,2016-08-18,3343.452
F-0001,2016-08-19,3246.26
F-0001,2016-08-20,3304.408
F-0001,2016-08-21,3277.383
F-0001,2016-08-22,3270.555
F-0001,2016-08-23,3285.575
F-0001,2016-08-24,3271.924
F-0001,2016-08-25,3185.371
F-0001,2016-08-26,3225.782
F-0001,2016-08-27,3238.613
F-0001,2016-08-28,3305.5005
F-0001,2016-08-29,3225.236
F-0001,2016-08-30,3141.4146
F-0001,2016-08-31,3269.4648
F-0001,2016-09-01,3276.015
F-0001,2016-09-02,3346.184
F-0001,2016-09-03,3273.285
F-0001,2016-09-04,3371.576
F-0001,2016-09-05,3288.575
F-0001,2016-09-06,3206.668
F-0001,2016-09-07,3119.847
F-0001,2016-09-08,3125.579
F-0001,2016-09-09,3211.038
F-0001,2016-09-10,3237.248
F-0001,2016-09-11,3265.369
F-0001,2016-09-12,3223.325
F-0001,2016-09-13,3239.9778
F-0001,2016-09-14,3328.437
F-0001,2016-09-15,3292.398
F-0001,2016-09-16,3314.239
F-0001,2016-09-17,3347.275
F-0001,2016-09-18,3384.406
F-0001,2016-09-19,3250.08
F-0001,2016-09-20,3215.678
F-0001,2016-09-21,3201.482
F-0001,2016-09-22,3192.2
F-0001,2016-09-23,3196.023
F-0001,2016-09-24,3219.774
F-0001,2016-09-25,3232.879
F-0001,2016-09-26,3263.731
F-0001,2016-09-27,3105.1016
F-0001,2016-09-28,3247.621
F-0001,2016-09-29,3261.273
F-0001,2016-09-30,3259.908
F-0001,2016-10-01,3250.08
F-0001,2016-10-02,3310.417
F-0001,2016-10-03,3241.0679
F-0001,2016-10-04,3260.454
F-0001,2016-10-05,3266.186
F-0001,2016-10-06,3265.913
F-0001,2016-10-07,3243.528
F-0001,2016-10-08,3214.311
F-0001,2016-10-09,3085.173
F-0001,2016-10-10,2253.8137
F-0001,2016-10-11,2773.9255
F-0001,2016-10-12,3261.544
F-0001,2016-10-13,3253.626
F-0001,2016-10-14,3209.395
F-0001,2016-10-15,3270.281
F-0001,2016-10-16,3268.916
F-0001,2016-10-17,3189.741
F-0001,2016-10-18,3103.741
F-0001,2016-10-19,2650.518
F-0001,2016-10-20,2750.7188
F-0001,2016-10-21,3034.935
F-0001,2016-10-22,1802.5048
F-0001,2016-10-23,1782.3018
F-0001,2016-10-24,1883.3197
F-0001,2016-10-25,2044.1318
F-0001,2016-10-26,2613.387
F-0001,2016-10-27,2725.8733
F-0001,2016-10-28,2820.886
F-0001,2016-10-29,2824.1606
F-0001,2016-10-30,2709.764
F-0001,2016-10-31,2663.8965
F-0001,2016-11-01,2692.837
F-0001,2016-11-02,2812.421
F-0001,2016-11-03,2542.403
F-0001,2016-11-04,2598.6418
F-0001,2016-11-05,2332.1714
F-0001,2016-11-06,2377.767
F-0001,2016-11-07,2159.0745
F-0001,2016-11-08,1912.8066
F-0001,2016-11-09,2229.7876
F-0001,2016-11-10,2144.058
F-0001,2016-11-11,1699.3018
F-0001,2016-11-12,1736.9792
F-0001,2016-11-13,2235.5212
F-0001,2016-11-14,2346.0952
F-0001,2016-11-15,1783.3936
F-0001,2016-11-16,1577.2599
F-0001,2016-11-17,1690.0189
F-0001,2016-11-18,1703.9432
F-0001,2016-11-19,1837.4524
F-0001,2016-11-20,1664.6276
F-0001,2016-11-21,1817.7944
F-0001,2016-11-22,1709.6768
F-0001,2016-11-23,1943.1125
F-0001,2016-11-24,2332.444
F-0001,2016-11-25,2310.3296
F-0001,2016-11-26,2046.5883
F-0001,2016-11-27,1732.0647
F-0001,2016-11-28,1977.7858
F-0001,2016-11-29,2838.633
F-0001,2016-11-30,3139.7769
F-0001,2016-12-01,2938.8335
F-0001,2016-12-02,1808.512
F-0001,2016-12-03,1871.853
F-0001,2016-12-04,2258.7292
F-0001,2016-12-05,2862.1128
F-0001,2016-12-06,3144.4177
F-0001,2016-12-07,2311.9678
F-0001,2016-12-08,1875.1295
F-0001,2016-12-09,1390.2385
F-0001,2016-12-10,1702.3053
F-0001,2016-12-11,2097.916
F-0001,2016-12-12,2763.2778
F-0001,2016-12-13,2613.3867
F-0001,2016-12-14,2743.0728
F-0001,2016-12-15,2274.5642
F-0001,2016-12-16,1869.669
F-0001,2016-12-17,2733.5166
F-0001,2016-12-18,3319.702
F-0001,2016-12-19,3270.01
F-0001,2016-12-20,2288.2148
F-0001,2016-12-21,1575.8956
F-0001,2016-12-22,1650.1576
F-0001,2016-12-23,1877.3136
F-0001,2016-12-24,2362.7515
F-0001,2016-12-25,2779.1128
F-0001,2016-12-26,2682.188
F-0001,2016-12-27,2670.4458
F-0001,2016-12-28,2592.363
F-0001,2016-12-29,2584.1736
F-0001,2016-12-30,1597.7368
F-0001,2016-12-31,2050.6838
F-0002,2016-01-01,29.4864
F-0002,2016-01-02,30.158237
F-0002,2016-01-03,33.55581
F-0002,2016-01-04,37.241306
F-0002,2016-01-05,38.330612
F-0002,2016-01-06,36.115665
F-0002,2016-01-07,33.890457
F-0002,2016-01-08,31.665249
F-0002,2016-01-09,30.853199
F-0002,2016-01-10,37.867867
F-0002,2016-01-11,46.078278
F-0002,2016-01-12,54.288692
F-0002,2016-01-13,62.499107
F-0002,2016-01-14,70.70952
F-0002,2016-01-15,78.91994
F-0002,2016-01-16,87.13035
F-0002,2016-01-17,95.34077
F-0002,2016-01-18,103.55118
F-0002,2016-01-19,111.76159
F-0002,2016-01-20,119.97201
F-0002,2016-01-21,128.18242
F-0002,2016-01-22,136.39284
F-0002,2016-01-23,144.60324
F-0002,2016-01-24,152.81366
F-0002,2016-01-25,161.02408
F-0002,2016-01-26,169.2345
F-0002,2016-01-27,177.4449
F-0002,2016-01-28,185.65532
F-0002,2016-01-29,193.86574
F-0002,2016-01-30,202.07614
F-0002,2016-01-31,210.28656
F-0002,2016-02-01,218.49698
F-0002,2016-02-02,226.70738
F-0002,2016-02-03,234.9178
F-0002,2016-02-04,243.12822
F-0002,2016-02-05,251.33862
F-0002,2016-02-06,259.54904
F-0002,2016-02-07,267.75946
F-0002,2016-02-08,275.96988
F-0002,2016-02-09,284.1803
F-0002,2016-02-10,292.39072
F-0002,2016-02-11,300.6011
F-0002,2016-02-12,308.81152
F-0002,2016-02-13,317.02194
F-0002,2016-02-14,325.23236
F-0002,2016-02-15,333.44278
F-0002,2016-02-16,341.6532
F-0002,2016-02-17,349.8636
F-0002,2016-02-18,358.074
F-0002,2016-02-19,366.28442
F-0002,2016-02-20,374.49484
F-0002,2016-02-21,382.70526
F-0002,2016-02-22,390.91568
F-0002,2016-02-23,399.1261
F-0002,2016-02-24,407.3365
F-0002,2016-02-25,415.5469
F-0002,2016-02-26,423.75732
F-0002,2016-02-27,431.96774
F-0002,2016-02-28,440.17816
F-0002,2016-02-29,448.38858
F-0002,2016-03-01,456.599
F-0002,2016-03-02,464.8094
F-0002,2016-03-03,473.0198
F-0002,2016-03-04,481.23022
F-0002,2016-03-05,489.44064
F-0002,2016-03-06,497.65106
F-0002,2016-03-07,505.86148
F-0002,2016-03-08,514.0719
F-0002,2016-03-09,522.2823
F-0002,2016-03-10,530.49274
F-0002,2016-03-11,538.7031
F-0002,2016-03-12,546.9135
F-0002,2016-03-13,555.12396
F-0002,2016-03-14,563.33435
F-0002,2016-03-15,571.5448
F-0002,2016-03-16,579.7552
F-0002,2016-03-17,587.96564
